country,year,percentage
Belgium,2015,3.69
Belgium,2016,7.93
Belgium,2017,6.81
Belgium,2018,11.45
Belgium,2019,16.42
Belgium,2020,14.45
Bulgaria,2015,100
Bulgaria,2016,100
Bulgaria,2017,100
Bulgaria,2018,99.92
Bulgaria,2019,85.73
Bulgaria,2020,83.77
Czechia,2015,99.81
Czechia,2016,99.97
Czechia,2017,99.19
Czechia,2018,99.5
Czechia,2019,99.73
Czechia,2020,100
Estonia,2015,100
Estonia,2016,100
Estonia,2017,99.84
Estonia,2018,99.9
Estonia,2019,99.45
Estonia,2020,98
Finland,2015,100
Finland,2016,100
Finland,2017,100
Finland,2018,97.99
Finland,2019,97.3
Finland,2020,82.23
France,2015,14.47
France,2016,22.61
France,2017,20.49
France,2018,22.42
France,2019,21.78
France,2020,19.04
Germany,2015,45.32
Germany,2016,60.25
Germany,2017,54.34
Germany,2018,51.22
Germany,2019,51.22
Germany,2020,68.66
Greece,2015,71.68
Greece,2016,72.25
Greece,2017,63.6
Greece,2018,71.18
Greece,2019,36.89
Greece,2020,42.22
Hungary,2015,95
Hungary,2016,95
Hungary,2017,95
Hungary,2018,95
Hungary,2019,95
Hungary,2020,95
Ireland,2015,0
Ireland,2016,0
Ireland,2017,0.11
Ireland,2018,1.72
Ireland,2019,3.6
Ireland,2020,0
Italy,2015,47.31
Italy,2016,43.25
Italy,2017,47.74
Italy,2018,48.8
Italy,2019,47.6
Italy,2020,43.72
Latvia,2015,100
Latvia,2016,100
Latvia,2017,100
Latvia,2018,100
Latvia,2019,100
Latvia,2020,100
Lithuania,2015,82.6
Lithuania,2016,38.29
Lithuania,2017,53.64
Lithuania,2018,56.77
Lithuania,2019,43.27
Lithuania,2020,41.79
Poland,2015,83.09
Poland,2016,84.33
Poland,2017,77.78
Poland,2018,72.61
Poland,2019,68.25
Poland,2020,69.56
Portugal,2015,0
Portugal,2016,0
Portugal,2017,0
Portugal,2018,0
Portugal,2019,1.9
Portugal,2020,9.7
Spain,2015,0.45
Spain,2016,0.44
Spain,2017,0.79
Spain,2018,3.09
Spain,2019,9.93
Spain,2020,11.52
Denmark,2015,0
Denmark,2016,0
Denmark,2017,0
Denmark,2018,0
Denmark,2019,0
Denmark,2020,62.32
Romania,2015,97.68
Romania,2016,99.77
Romania,2017,99.97
Romania,2018,98.03
Romania,2019,91.72
Romania,2020,90.96
